condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,R_q0,R_q1,R_q2,R_q3,R_heel1,R_mid1,R_fore1,R_heel2,R_fore3,R_mid2,R_fore4,R_fore2,R_cadence,R_speed,R_steps,R_zupt,R_gyroNorm,R_accH,R_gyro_x,R_gyro_y,R_gyro_z,R_acc_x,R_acc_y,R_acc_z,R_nav_ax,R_nav_ay,R_nav_az,R_stepVel,R_stepVelj,R_stepDispRaw,R_stepDispZUPT,R_gaitEvent,R_stepTimeMs,R_stepDeviationMs,R_baselineMs,R_motorMode,R_motorActive,R_motorAlignment,R_motorRegionMask,R_motorAmplitude,R_motorIntervalMs,R_motorDurationMs,R_motorPhaseMs,R_motorCycleMs
baseline,3952,3952,0,11912.373,0.994,0.013,0.105,-0.002,57,93,69,44,55,22,73,23,0,0.000,0,0,0.075,0.008,0.040,0.060,-0.020,-0.003,-0.037,1.001,0.006,-0.006,0.002,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,3967,3967,0,11917.373,0.994,0.013,0.105,-0.002,76,95,61,61,52,23,45,21,0,0.000,0,0,0.028,0.008,-0.020,0.000,-0.020,-0.003,-0.037,1.000,0.006,-0.006,0.002,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,3967,3967,0,11922.373,0.994,0.013,0.105,-0.002,53,72,89,68,40,13,57,51,0,0.000,0,0,0.063,0.006,-0.020,0.000,0.060,-0.003,-0.037,1.000,0.006,-0.002,-0.004,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,3967,3967,0,11927.373,0.994,0.013,0.105,-0.002,75,93,61,46,56,24,63,20,0,0.000,0,0,0.063,0.006,-0.020,0.000,0.060,-0.003,-0.036,1.001,0.006,-0.002,-0.004,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,3967,3967,0,11932.373,0.994,0.013,0.105,-0.002,77,93,61,45,59,27,71,22,0,0.000,0,0,0.063,0.003,-0.020,0.000,0.060,-0.004,-0.037,1.001,0.002,-0.002,0.002,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,3967,3967,0,11937.374,0.994,0.013,0.105,-0.002,75,98,61,45,57,24,63,20,0,0.000,0,0,0.028,0.006,-0.020,0.000,-0.020,-0.003,-0.037,1.000,0.002,-0.006,0.002,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,3967,3967,0,11942.374,0.994,0.013,0.105,-0.002,77,121,60,70,39,10,48,29,0,0.000,0,0,0.100,0.008,-0.080,0.000,0.060,-0.003,-0.038,1.000,0.002,-0.008,-0.012,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,3983,3983,0,11947.373,0.994,0.013,0.105,-0.002,56,93,67,39,56,21,52,18,0,0.000,0,0,0.045,0.010,0.040,0.000,-0.020,-0.002,-0.036,1.000,0.006,-0.008,-0.012,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,3983,3983,0,11952.373,0.994,0.013,0.105,-0.002,55,75,88,39,43,9,73,50,0,0.000,0,0,0.072,0.006,0.040,0.000,0.060,-0.003,-0.036,1.001,0.006,0.002,-0.008,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,3999,3999,0,11957.373,0.994,0.013,0.105,-0.002,71,73,62,71,31,2,43,45,0,0.000,0,0,0.063,0.006,-0.020,0.000,0.060,-0.004,-0.036,1.000,0.006,0.002,-0.008,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,3999,3999,0,11962.373,0.994,0.013,0.105,-0.002,55,73,90,51,45,13,77,51,0,0.000,0,0,0.045,0.003,-0.020,0.000,0.040,-0.003,-0.038,1.000,0.002,0.002,-0.002,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
baseline,3999,3999,0,11967.373,0.994,0.013,0.105,-0.002,54,87,87,51,37,9,85,47,0,0.000,0,0,0.075,0.004,0.040,0.060,-0.020,-0.004,-0.036,1.000,-0.004,0.002,-0.004,0.000,0.000,0.000,0.000,0,NULL,NULL,,0,0,0,7,255,0,250,0,0
