condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,R_q0,R_q1,R_q2,R_q3,R_heel1,R_mid1,R_fore1,R_heel2,R_fore3,R_mid2,R_fore4,R_fore2,R_cadence,R_speed,R_steps,R_zupt,R_gyroNorm,R_accH,R_gyro_x,R_gyro_y,R_gyro_z,R_acc_x,R_acc_y,R_acc_z,R_nav_ax,R_nav_ay,R_nav_az,R_stepVel,R_stepVelj,R_stepDispRaw,R_stepDispZUPT,R_gaitEvent,R_motorMode,R_motorActive,R_motorAlignment,R_motorRegionMask,R_motorAmplitude,R_motorIntervalMs,R_motorDurationMs,R_motorPhaseMs,R_motorCycleMs
stim,3551,3551,1,2929062.087,0.416,0.269,-0.131,-0.859,3181,59,121,3043,4095,1337,0,1230,58,0.000,1903,1,5.885,0.099,-1.880,-0.640,-5.540,-0.569,0.003,0.819,-0.084,-0.052,-0.040,0.000,0.000,1.055,1.031,3,3,1,3,7,255,1214,250,1123,1214
stim,3568,3568,1,2929067.087,0.416,0.269,-0.130,-0.859,3175,59,120,3031,4095,1333,0,1227,58,0.000,1903,1,6.072,0.046,-2.120,-0.580,-5.660,-0.568,-0.004,0.821,-0.046,-0.006,-0.038,0.000,0.000,1.055,1.031,3,3,1,3,7,255,1214,250,1128,1214
stim,3568,3568,1,2929072.087,0.417,0.269,-0.130,-0.859,3205,56,125,3035,4095,1337,0,1231,58,0.000,1903,1,6.027,0.050,-2.180,-0.460,-5.600,-0.570,-0.011,0.824,-0.004,0.050,-0.028,0.000,0.000,1.055,1.031,3,3,1,3,7,255,1214,250,1133,1214
stim,3583,3583,1,2929077.087,0.417,0.269,-0.130,-0.859,3171,59,133,3025,4095,1333,0,1224,58,0.000,1903,1,5.816,0.098,-2.240,-0.280,-5.360,-0.574,-0.017,0.823,0.046,0.086,0.004,0.000,0.000,1.055,1.031,3,3,1,3,7,255,1214,250,1138,1214
stim,3583,3583,1,2929082.087,0.417,0.269,-0.130,-0.859,3179,58,141,3029,4095,1338,4,1231,58,0.000,1903,1,5.323,0.144,-2.600,-0.220,-4.640,-0.579,-0.023,0.823,0.112,0.090,0.018,0.000,0.000,1.055,1.031,3,3,1,3,7,255,1214,250,1143,1214
stim,3584,3584,1,2929087.087,0.417,0.269,-0.129,-0.859,3175,58,151,3021,4095,1327,25,1227,58,0.000,1903,1,4.479,0.160,-2.660,-0.160,-3.600,-0.578,-0.022,0.830,0.132,0.090,0.050,0.000,0.000,1.055,1.031,3,3,1,3,7,255,1214,250,1148,1214
stim,3584,3584,1,2929092.087,0.417,0.269,-0.129,-0.858,3165,58,157,3007,4095,1327,30,1222,58,0.000,1903,1,3.228,0.176,-2.300,-0.160,-2.260,-0.575,-0.022,0.831,0.132,0.116,0.088,0.000,0.000,1.055,1.031,3,3,1,3,7,255,1214,250,1153,1214
stim,3599,3599,1,2929097.087,0.417,0.269,-0.129,-0.858,3165,61,160,3007,4095,1321,31,1226,58,0.000,1903,1,2.888,0.192,-1.920,0.400,-2.120,-0.575,-0.033,0.826,0.132,0.140,0.088,0.000,0.000,1.055,1.031,3,3,1,3,7,255,1214,250,1158,1214
stim,3599,3599,1,2929102.087,0.417,0.269,-0.129,-0.858,3160,59,169,3011,4095,1325,33,1224,58,0.000,1903,1,2.406,0.179,-2.220,0.220,-0.900,-0.571,-0.018,0.830,0.112,0.140,0.052,0.000,0.000,1.055,1.031,3,3,1,3,7,255,1214,250,1163,1214
stim,3599,3599,1,2929107.087,0.417,0.269,-0.129,-0.858,3165,61,171,3008,4095,1325,37,1225,58,0.000,1903,1,2.206,0.168,-1.680,1.060,-0.960,-0.574,-0.023,0.826,0.118,0.120,0.046,0.000,0.000,1.055,1.031,3,3,1,3,7,255,1214,250,1168,1214
