condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,R_q0,R_q1,R_q2,R_q3,R_heel1,R_mid1,R_fore1,R_heel2,R_fore3,R_mid2,R_fore4,R_fore2,R_cadence,R_speed,R_steps,R_zupt,R_gyroNorm,R_accH,R_gyro_x,R_gyro_y,R_gyro_z,R_acc_x,R_acc_y,R_acc_z,R_nav_ax,R_nav_ay,R_nav_az,R_stepVel,R_stepVelj,R_stepDispRaw,R_stepDispZUPT,R_gaitEvent,R_motorMode,R_motorActive,R_motorAlignment,R_motorRegionMask,R_motorAmplitude,R_motorIntervalMs,R_motorDurationMs,R_motorPhaseMs,R_motorCycleMs
stim,3839,3839,0,87976.369,0.993,0.091,0.008,-0.073,3191,599,1516,3579,1099,1415,455,4095,42,0.000,4,1,6.407,0.101,-4.680,2.600,-3.520,-0.181,-0.223,0.951,0.094,0.036,-0.122,0.000,0.000,0.266,0.193,2,2,0,2,7,255,1728,200,425,1728
stim,3839,3839,0,87981.369,0.993,0.091,0.008,-0.073,3193,597,1507,3573,1082,1424,455,4095,42,0.000,4,1,6.461,0.116,-4.120,3.760,-3.260,-0.221,-0.168,0.969,0.094,0.068,-0.122,0.000,0.000,0.266,0.193,2,2,0,2,7,255,1728,200,430,1728
stim,3905,3905,0,87986.369,0.993,0.091,0.008,-0.073,3205,571,1516,3573,1073,1403,453,4095,42,0.000,4,1,4.329,0.202,-2.820,3.260,0.400,-0.227,-0.192,0.978,-0.202,0.014,0.028,0.000,0.000,0.266,0.193,2,2,0,2,7,255,1728,200,435,1728
stim,3905,3905,0,87991.369,0.993,0.091,0.008,-0.073,3197,678,1482,3565,1084,1445,445,4095,42,0.000,4,1,4.262,0.204,-0.680,3.260,2.660,-0.210,-0.191,0.972,-0.202,0.028,0.068,0.000,0.000,0.266,0.193,2,2,0,2,7,255,1728,200,440,1728
stim,3905,3905,0,87996.370,0.993,0.091,0.008,-0.073,3198,702,1517,3587,1099,1438,441,4095,42,0.000,4,1,4.258,0.052,-2.520,3.360,0.700,-0.181,-0.199,0.939,-0.050,0.014,0.068,0.000,0.000,0.266,0.193,2,2,0,2,7,255,1728,200,445,1728
stim,3905,3905,0,88001.369,0.993,0.092,0.008,-0.073,3197,700,1495,3567,1115,1456,408,4095,42,0.000,4,1,4.642,0.184,-3.060,3.060,-1.680,-0.185,-0.210,0.948,0.168,-0.076,-0.162,0.000,0.000,0.266,0.193,2,2,0,2,7,255,1728,200,450,1728
stim,3905,3905,0,88006.369,0.993,0.092,0.008,-0.073,3197,695,1544,3575,1091,1451,433,4095,42,0.000,4,1,5.901,0.184,-4.340,3.540,-1.860,-0.214,-0.166,0.960,0.168,-0.076,-0.162,0.000,0.000,0.266,0.193,2,2,0,2,7,255,1728,200,455,1728
stim,3905,3905,0,88011.369,0.993,0.092,0.008,-0.073,3205,608,1499,3577,1051,1543,429,4095,42,0.000,4,1,6.032,0.214,-5.240,2.560,-1.540,-0.202,-0.172,0.965,-0.014,0.214,-0.078,0.000,0.000,0.266,0.193,2,2,0,2,7,255,1728,200,460,1728
stim,3905,3905,0,88016.369,0.993,0.092,0.008,-0.073,3210,616,1499,3589,1029,1545,429,4095,42,0.000,4,1,5.170,0.214,-3.700,2.980,-2.040,-0.183,-0.209,0.957,-0.014,0.214,-0.078,0.000,0.000,0.266,0.193,2,2,0,2,7,255,1728,200,465,1728
stim,3905,3905,0,88021.369,0.993,0.092,0.007,-0.073,3207,561,1529,3572,1006,1497,411,4095,42,0.000,4,1,5.346,0.214,-2.780,4.320,-1.480,-0.217,-0.160,0.962,-0.014,0.214,-0.060,0.000,0.000,0.266,0.193,2,2,0,2,7,255,1728,200,470,1728
