condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,L_q0,L_q1,L_q2,L_q3,L_heel1,L_mid1,L_fore1,L_heel2,L_fore3,L_mid2,L_fore4,L_fore2,L_cadence,L_speed,L_steps,L_zupt,L_gyroNorm,L_accH,L_gyro_x,L_gyro_y,L_gyro_z,L_acc_x,L_acc_y,L_acc_z,L_nav_ax,L_nav_ay,L_nav_az,L_stepVel,L_stepVelj,L_stepDispRaw,L_stepDispZUPT,L_gaitEvent,L_stepTimeMs,L_stepDeviationMs,L_motorMode,L_motorActive,L_motorAlignment,L_motorRegionMask,L_motorAmplitude,L_motorIntervalMs,L_motorDurationMs,L_motorPhaseMs,L_motorCycleMs
pre_stim,25487,25487,0,56040.829,0.977,-0.119,-0.174,0.012,3208,0,0,1317,0,59,30,215,0,0.000,0,0,0.185,0.008,-0.140,0.120,-0.020,-0.282,0.038,0.960,-0.008,0.002,0.002,0.000,0.000,0.000,0.000,0,NULL,NULL,2,0,3,7,255,1070,150,834,0
pre_stim,25487,25487,0,56045.827,0.977,-0.119,-0.174,0.012,3195,0,0,1319,0,61,30,217,0,0.000,0,0,0.146,0.013,-0.080,0.120,-0.020,-0.281,0.038,0.962,-0.006,-0.012,0.002,0.000,0.000,0.000,0.000,0,NULL,NULL,2,0,3,7,255,1070,150,839,0
pre_stim,25487,25487,0,56050.829,0.977,-0.119,-0.174,0.012,3209,0,0,1319,0,67,33,219,0,0.000,0,0,0.108,0.012,-0.080,0.060,0.040,-0.281,0.039,0.961,-0.002,-0.012,0.000,0.000,0.000,0.000,0.000,0,NULL,NULL,2,0,3,7,255,1070,150,844,0
pre_stim,25487,25487,0,56055.827,0.977,-0.119,-0.174,0.012,3211,0,0,1318,0,67,28,219,0,0.000,0,0,0.108,0.003,-0.080,0.060,0.040,-0.281,0.039,0.961,-0.002,0.002,0.000,0.000,0.000,0.000,0.000,0,NULL,NULL,2,0,3,7,255,1070,150,849,0
pre_stim,25487,25487,0,56060.829,0.977,-0.119,-0.174,0.012,3191,0,0,1325,0,59,35,213,0,0.000,0,0,0.150,0.003,-0.080,0.120,0.040,-0.282,0.040,0.962,-0.002,0.002,0.000,0.000,0.000,0.000,0.000,0,NULL,NULL,2,0,3,7,255,1070,150,854,0
pre_stim,25487,25487,0,56065.827,0.977,-0.119,-0.174,0.012,3207,0,0,1323,0,60,29,216,0,0.000,0,0,0.108,0.004,-0.080,0.060,0.040,-0.282,0.039,0.962,-0.004,0.002,0.006,0.000,0.000,0.000,0.000,0,NULL,NULL,2,0,3,7,255,1070,150,859,0
pre_stim,25504,25504,0,56070.829,0.977,-0.119,-0.174,0.012,3203,0,0,1328,0,69,30,219,0,0.000,0,0,0.128,0.008,-0.080,0.060,-0.080,-0.283,0.039,0.961,-0.008,0.002,0.006,0.000,0.000,0.000,0.000,0,NULL,NULL,2,0,3,7,255,1070,150,864,0
pre_stim,25504,25504,0,56075.827,0.977,-0.119,-0.174,0.012,3196,0,0,1331,0,67,37,213,0,0.000,0,0,0.128,0.016,-0.080,0.060,-0.080,-0.284,0.039,0.961,-0.016,0.002,0.006,0.000,0.000,0.000,0.000,0,NULL,NULL,2,0,3,7,255,1070,150,869,0
pre_stim,25504,25504,0,56080.829,0.977,-0.119,-0.174,0.012,3213,0,0,1324,0,71,31,217,0,0.000,0,0,0.172,0.016,-0.140,0.060,-0.080,-0.281,0.039,0.960,-0.016,0.002,0.004,0.000,0.000,0.000,0.000,0,NULL,NULL,2,0,3,7,255,1070,150,874,0
pre_stim,25504,25504,0,56085.827,0.977,-0.119,-0.174,0.012,3207,0,0,1331,0,71,33,217,0,0.000,0,0,0.161,0.006,-0.140,0.000,-0.080,-0.281,0.039,0.962,-0.004,-0.004,0.006,0.000,0.000,0.000,0.000,0,NULL,NULL,2,0,3,7,255,1070,150,879,0
pre_stim,25505,25505,0,56090.829,0.977,-0.119,-0.174,0.012,3213,0,0,1332,0,71,33,219,0,0.000,0,0,0.172,0.006,-0.080,-0.060,-0.140,-0.282,0.038,0.961,-0.004,-0.004,0.002,0.000,0.000,0.000,0.000,0,NULL,NULL,2,0,3,7,255,1070,150,884,0
pre_stim,25505,25505,0,56095.827,0.977,-0.119,-0.174,0.012,3191,0,0,1328,0,71,31,217,0,0.000,0,0,0.128,0.004,-0.080,-0.060,-0.080,-0.281,0.039,0.961,-0.002,-0.004,0.002,0.000,0.000,0.000,0.000,0,NULL,NULL,2,0,3,7,255,1070,150,889,0
pre_stim,25518,25518,0,56100.829,0.977,-0.119,-0.174,0.012,3197,0,0,1318,0,69,31,211,0,0.000,0,0,0.113,0.003,-0.080,0.000,-0.080,-0.281,0.040,0.961,-0.002,0.002,0.000,0.000,0.000,0.000,0.000,0,NULL,NULL,2,0,3,7,255,1070,150,894,0
pre_stim,25519,25519,0,56105.827,0.977,-0.119,-0.174,0.012,3211,0,0,1323,0,73,33,217,0,0.000,0,0,0.161,0.006,-0.080,0.000,-0.140,-0.282,0.041,0.961,-0.002,0.006,0.000,0.000,0.000,0.000,0.000,0,NULL,NULL,2,0,3,7,255,1070,150,899,0
pre_stim,25537,25537,0,56110.829,0.977,-0.119,-0.174,0.012,3193,0,0,1323,0,75,35,209,0,0.000,0,0,0.113,0.006,-0.080,0.000,-0.080,-0.279,0.039,0.961,0.000,0.006,0.000,0.000,0.000,0.000,0.000,0,NULL,NULL,2,0,3,7,255,1070,150,904,0
pre_stim,25537,25537,0,56115.827,0.977,-0.119,-0.174,0.012,3205,0,0,1321,0,63,29,220,0,0.000,0,0,0.172,0.002,-0.140,0.060,-0.080,-0.281,0.039,0.961,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0,NULL,NULL,2,0,3,7,255,1070,150,909,0
pre_stim,25537,25537,0,56120.829,0.977,-0.119,-0.174,0.012,3195,0,0,1325,0,73,37,211,0,0.000,0,0,0.204,0.004,-0.200,0.000,0.040,-0.281,0.038,0.961,0.000,-0.004,-0.004,0.000,0.000,0.000,0.000,0,NULL,NULL,2,0,3,7,255,1070,150,914,0
pre_stim,25537,25537,0,56125.827,0.977,-0.119,-0.174,0.012,3189,0,0,1326,0,71,39,217,0,0.000,0,0,0.154,0.004,-0.140,-0.060,-0.020,-0.282,0.039,0.961,-0.002,-0.004,0.000,0.000,0.000,0.000,0.000,0,NULL,NULL,2,0,3,7,255,1070,150,919,0
pre_stim,25551,25551,0,56130.827,0.977,-0.119,-0.174,0.012,3208,0,0,1319,0,63,30,211,0,0.000,0,0,0.082,0.007,-0.080,0.000,-0.020,-0.282,0.039,0.961,-0.006,-0.004,0.002,0.000,0.000,0.000,0.000,0,NULL,NULL,2,0,3,7,255,1070,150,924,0
pre_stim,25551,25551,0,56135.829,0.977,-0.119,-0.174,0.012,3208,0,0,1322,0,62,35,215,0,0.000,0,0,0.082,0.007,-0.020,0.000,-0.080,-0.282,0.038,0.962,-0.006,-0.004,0.002,0.000,0.000,0.000,0.000,0,NULL,NULL,2,0,3,7,255,1070,150,929,0
pre_stim,25551,25551,0,56140.827,0.977,-0.119,-0.174,0.012,3206,0,0,1328,0,72,39,219,0,0.000,0,0,0.113,0.010,-0.080,0.000,-0.080,-0.282,0.038,0.961,-0.006,-0.008,0.002,0.000,0.000,0.000,0.000,0,NULL,NULL,2,0,3,7,255,1070,150,934,0
pre_stim,25583,25583,0,56145.829,0.977,-0.119,-0.174,0.012,3187,0,0,1327,0,57,31,213,0,0.000,0,0,0.028,0.009,-0.020,0.000,-0.020,-0.280,0.039,0.961,-0.004,-0.008,-0.002,0.000,0.000,0.000,0.000,0,NULL,NULL,2,0,3,7,255,1070,150,939,0
pre_stim,25583,25583,0,56150.827,0.977,-0.119,-0.174,0.012,3203,0,0,1333,0,75,31,212,0,0.000,0,0,0.066,0.011,-0.020,-0.060,-0.020,-0.282,0.039,0.961,-0.010,-0.004,-0.002,0.000,0.000,0.000,0.000,0,NULL,NULL,2,0,3,7,255,1070,150,944,0
pre_stim,25583,25583,0,56155.829,0.977,-0.119,-0.174,0.012,3209,0,0,1331,0,63,29,208,0,0.000,0,0,0.102,0.007,-0.020,-0.060,-0.080,-0.282,0.039,0.961,-0.006,-0.004,0.002,0.000,0.000,0.000,0.000,0,NULL,NULL,2,0,3,7,255,1070,150,949,0
pre_stim,25583,25583,0,56160.827,0.977,-0.119,-0.174,0.012,3191,0,0,1331,0,73,35,213,0,0.000,0,0,0.141,0.007,-0.020,0.000,-0.140,-0.282,0.039,0.962,-0.006,-0.004,0.002,0.000,0.000,0.000,0.000,0,NULL,NULL,2,0,3,7,255,1070,150,954,0
