condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,L_q0,L_q1,L_q2,L_q3,L_heel1,L_mid1,L_fore1,L_heel2,L_fore3,L_mid2,L_fore4,L_fore2,L_cadence,L_speed,L_steps,L_zupt,L_gyroNorm,L_accH,L_gyro_x,L_gyro_y,L_gyro_z,L_acc_x,L_acc_y,L_acc_z,L_nav_ax,L_nav_ay,L_nav_az,L_stepVel,L_stepVelj,L_stepDispRaw,L_stepDispZUPT,L_gaitEvent,L_stepTimeMs,L_stepDeviationMs,L_baselineMs,L_motorMode,L_motorActive,L_motorAlignment,L_motorRegionMask,L_motorAmplitude,L_motorIntervalMs,L_motorDurationMs,L_motorPhaseMs,L_motorCycleMs
stim,2479,2479,0,905171.816,0.859,-0.081,-0.082,-0.499,56,75,92,57,29,8,67,46,0,0.000,0,0,0.028,0.004,0.000,0.020,0.020,0.003,0.026,1.003,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0,NULL,NULL,,1,0,1,7,255,,250,0,0
stim,2479,2479,0,905176.818,0.859,-0.081,-0.082,-0.499,88,97,77,73,25,0,53,55,0,0.000,0,0,0.085,0.002,0.080,0.020,0.020,0.002,0.026,1.003,0.000,-0.002,0.006,0.000,0.000,0.000,0.000,0,NULL,NULL,,1,0,1,7,255,,250,0,0
stim,2479,2479,0,905181.816,0.859,-0.081,-0.082,-0.499,79,75,87,74,19,0,77,55,0,0.000,0,0,0.089,0.000,0.000,0.080,-0.040,0.003,0.026,1.004,0.000,0.000,0.006,0.000,0.000,0.000,0.000,0,NULL,NULL,,1,0,1,7,255,,250,0,0
stim,2479,2479,0,905186.816,0.859,-0.081,-0.082,-0.499,54,97,89,47,51,10,71,21,0,0.000,0,0,0.045,0.000,0.000,0.020,-0.040,0.003,0.027,1.002,0.000,0.000,0.006,0.000,0.000,0.000,0.000,0,NULL,NULL,,1,0,1,7,255,,250,0,0
stim,2495,2495,0,905191.816,0.859,-0.081,-0.082,-0.499,61,90,84,40,49,3,64,21,0,0.000,0,0,0.045,0.002,0.000,0.020,-0.040,0.001,0.026,1.002,-0.002,0.000,-0.004,0.000,0.000,0.000,0.000,0,NULL,NULL,,1,0,1,7,255,,250,0,0
stim,2495,2495,0,905196.816,0.859,-0.081,-0.082,-0.499,57,70,89,40,49,0,63,21,0,0.000,0,0,0.092,0.010,0.080,0.020,-0.040,0.003,0.027,1.003,-0.008,0.006,-0.004,0.000,0.000,0.000,0.000,0,NULL,NULL,,1,0,1,7,255,,250,0,0
stim,2495,2495,0,905201.816,0.859,-0.081,-0.082,-0.499,55,63,83,69,21,0,45,43,0,0.000,0,0,0.085,0.008,0.080,0.020,0.020,0.003,0.026,1.003,-0.008,0.002,0.006,0.000,0.000,0.000,0.000,0,NULL,NULL,,1,0,1,7,255,,250,0,0
stim,2495,2495,0,905206.816,0.859,-0.081,-0.082,-0.499,59,86,57,36,45,4,50,18,0,0.000,0,0,0.092,0.008,0.080,0.020,-0.040,0.004,0.025,1.002,0.006,0.006,0.006,0.000,0.000,0.000,0.000,0,NULL,NULL,,1,0,1,7,255,,250,0,0
stim,2511,2511,0,905211.816,0.859,-0.081,-0.082,-0.499,59,92,87,49,45,3,71,19,0,0.000,0,0,0.092,0.006,0.080,0.020,-0.040,0.002,0.026,1.002,0.006,0.002,-0.004,0.000,0.000,0.000,0.000,0,NULL,NULL,,1,0,1,7,255,,250,0,0
stim,2511,2511,0,905216.817,0.859,-0.081,-0.082,-0.499,83,72,86,75,21,0,69,36,0,0.000,0,0,0.045,0.000,0.000,0.020,-0.040,0.003,0.026,1.003,0.000,0.000,-0.004,0.000,0.000,0.000,0.000,0,NULL,NULL,,1,0,1,7,255,,250,0,0
