condition_phase,condition_phase_elapsed_ms,condition_elapsed_ms,is_stimulation_on,t_ms,R_q0,R_q1,R_q2,R_q3,R_heel1,R_mid1,R_fore1,R_heel2,R_fore3,R_mid2,R_fore4,R_fore2,R_cadence,R_speed,R_steps,R_zupt,R_gyroNorm,R_accH,R_gyro_x,R_gyro_y,R_gyro_z,R_acc_x,R_acc_y,R_acc_z,R_nav_ax,R_nav_ay,R_nav_az,R_stepVel,R_stepVelj,R_stepDispRaw,R_stepDispZUPT,R_gaitEvent,R_motorMode,R_motorActive,R_motorAlignment,R_motorRegionMask,R_motorAmplitude,R_motorIntervalMs,R_motorDurationMs,R_motorPhaseMs,R_motorCycleMs
pre_stim,2927,13599,0,6841577.087,0.526,0.091,0.115,0.838,0,0,1598,0,1869,1,863,4095,5,0.890,2897,0,362.773,14.512,7.220,-361.600,-28.240,-0.740,-0.659,2.438,-0.110,14.512,10.430,0.174,0.164,1.046,1.032,3,2,0,3,7,255,971,250,0,0
pre_stim,2927,13599,0,6841582.087,0.522,0.105,0.125,0.837,0,0,1470,0,1797,0,828,4095,5,0.890,2897,0,387.960,15.880,25.580,-385.340,-37.040,-0.764,-0.485,2.385,-0.110,15.880,10.430,0.192,0.184,1.046,1.032,3,2,0,3,7,255,971,250,0,0
pre_stim,2960,13632,0,6841587.087,0.519,0.119,0.136,0.836,0,0,1335,0,1744,0,808,4095,5,0.890,2897,0,411.826,15.880,38.460,-407.620,-44.360,-0.819,-0.225,2.292,-0.074,15.880,9.540,0.214,0.206,1.046,1.032,3,2,0,3,7,255,971,250,0,0
pre_stim,2960,13632,0,6841592.087,0.515,0.133,0.148,0.834,0,0,3958,0,1647,0,805,4095,5,0.890,2897,0,433.316,15.990,47.320,-428.740,-41.300,-0.804,-0.185,2.256,2.712,15.758,8.230,0.238,0.230,1.046,1.032,3,2,0,3,7,255,971,250,0,0
pre_stim,2960,13632,0,6841597.087,0.511,0.148,0.160,0.831,0,0,3959,0,1577,1,805,4095,5,0.890,2897,0,450.327,15.973,48.340,-446.920,-26.840,-0.699,-0.159,2.306,3.266,15.636,7.666,0.266,0.256,1.046,1.032,3,2,0,3,7,255,971,250,0,0
pre_stim,2960,13632,0,6841602.087,0.508,0.163,0.172,0.828,0,0,3922,0,1458,0,793,4095,5,0.890,2897,0,463.861,15.997,50.980,-460.900,-11.820,-0.526,-0.038,2.463,3.378,15.636,7.666,0.296,0.288,1.046,1.032,3,2,0,3,7,255,971,250,0,0
pre_stim,2960,13632,0,6841607.087,0.505,0.179,0.184,0.824,0,0,3893,0,1301,0,739,4095,5,0.890,2897,0,469.525,15.696,57.880,-465.780,12.340,-0.300,0.066,2.709,4.142,15.140,9.270,0.326,0.318,1.046,1.032,3,2,0,3,7,255,971,250,0,0
pre_stim,2960,13632,0,6841612.087,0.503,0.194,0.197,0.819,0,0,843,0,1129,0,679,4095,5,0.890,2897,0,475.542,15.608,78.800,-468.100,28.520,-0.092,0.117,2.819,4.660,14.896,11.906,0.360,0.352,1.046,1.032,3,2,0,3,7,255,971,250,0,0
pre_stim,2976,13647,0,6841617.087,0.500,0.209,0.211,0.813,0,0,759,0,0,0,671,4095,5,0.890,2897,0,487.561,15.297,98.580,-476.700,27.480,0.042,0.141,2.610,4.660,14.570,11.906,0.394,0.390,1.046,1.032,3,2,0,3,7,255,971,250,0,0
pre_stim,2976,13647,0,6841622.087,0.497,0.224,0.225,0.808,0,0,629,0,0,0,585,3433,5,0.890,2897,0,495.562,13.997,105.660,-484.160,2.640,0.095,0.150,2.307,4.324,13.312,11.668,0.432,0.428,1.046,1.032,3,2,0,3,7,255,971,250,0,0
pre_stim,2976,13647,0,6841627.087,0.492,0.238,0.240,0.802,0,0,525,0,0,0,599,3869,5,0.890,2897,0,501.189,12.812,116.760,-486.280,-33.000,-0.082,0.164,1.872,4.324,12.060,8.982,0.472,0.470,1.046,1.032,3,2,0,3,7,255,971,250,0,0
pre_stim,2976,13647,0,6841632.087,0.487,0.253,0.254,0.797,0,0,442,0,0,0,637,3936,5,0.890,2897,0,492.114,12.137,106.460,-479.700,-27.020,-0.091,0.424,1.460,4.394,11.314,4.076,0.516,0.514,1.046,1.032,3,2,0,3,7,255,971,250,0,0
pre_stim,2991,13663,0,6841637.087,0.482,0.268,0.266,0.791,0,0,397,0,121,0,661,4095,5,0.890,2897,0,470.643,12.035,44.560,-468.520,2.880,-0.088,0.455,1.721,6.264,10.276,2.386,0.558,0.560,1.046,1.032,3,2,0,3,7,255,971,250,0,0
